2018-01-18 14:55:50 startup archives unpack
2018-01-18 14:55:51 install liblzo2-2:armhf <none> 2.08-1.2
2018-01-18 14:55:51 status half-installed liblzo2-2:armhf 2.08-1.2
2018-01-18 14:55:51 status unpacked liblzo2-2:armhf 2.08-1.2
2018-01-18 14:55:51 status unpacked liblzo2-2:armhf 2.08-1.2
2018-01-18 14:55:52 install libpkcs11-helper1:armhf <none> 1.21-1
2018-01-18 14:55:52 status triggers-pending libc-bin:armhf 2.24-11+deb9u1
2018-01-18 14:55:52 status half-installed libpkcs11-helper1:armhf 1.21-1
2018-01-18 14:55:52 status triggers-pending man-db:armhf 2.7.6.1-2
2018-01-18 14:55:52 status unpacked libpkcs11-helper1:armhf 1.21-1
2018-01-18 14:55:52 status unpacked libpkcs11-helper1:armhf 1.21-1
2018-01-18 14:55:53 install openvpn:armhf <none> 2.4.0-6+deb9u2
2018-01-18 14:55:53 status half-installed openvpn:armhf 2.4.0-6+deb9u2
2018-01-18 14:55:53 status triggers-pending systemd:armhf 232-25+deb9u1
2018-01-18 14:55:54 status unpacked openvpn:armhf 2.4.0-6+deb9u2
2018-01-18 14:55:55 status unpacked openvpn:armhf 2.4.0-6+deb9u2
2018-01-18 14:55:56 install libccid:armhf <none> 1.4.26-1
2018-01-18 14:55:56 status half-installed libccid:armhf 1.4.26-1
2018-01-18 14:55:56 status unpacked libccid:armhf 1.4.26-1
2018-01-18 14:55:56 status unpacked libccid:armhf 1.4.26-1
2018-01-18 14:55:57 install pcscd:armhf <none> 1.8.20-1
2018-01-18 14:55:57 status half-installed pcscd:armhf 1.8.20-1
2018-01-18 14:55:57 status unpacked pcscd:armhf 1.8.20-1
2018-01-18 14:55:57 status unpacked pcscd:armhf 1.8.20-1
2018-01-18 14:55:57 install easy-rsa:all <none> 2.2.2-2
2018-01-18 14:55:57 status half-installed easy-rsa:all 2.2.2-2
2018-01-18 14:55:58 status unpacked easy-rsa:all 2.2.2-2
2018-01-18 14:55:58 status unpacked easy-rsa:all 2.2.2-2
2018-01-18 14:55:58 install opensc-pkcs11:armhf <none> 0.16.0-3
2018-01-18 14:55:58 status half-installed opensc-pkcs11:armhf 0.16.0-3
2018-01-18 14:55:59 status unpacked opensc-pkcs11:armhf 0.16.0-3
2018-01-18 14:55:59 status unpacked opensc-pkcs11:armhf 0.16.0-3
2018-01-18 14:55:59 install opensc:armhf <none> 0.16.0-3
2018-01-18 14:55:59 status half-installed opensc:armhf 0.16.0-3
2018-01-18 14:56:00 status unpacked opensc:armhf 0.16.0-3
2018-01-18 14:56:00 status unpacked opensc:armhf 0.16.0-3
2018-01-18 14:56:00 startup packages configure
2018-01-18 14:56:00 configure libpkcs11-helper1:armhf 1.21-1 <none>
2018-01-18 14:56:00 status unpacked libpkcs11-helper1:armhf 1.21-1
2018-01-18 14:56:00 status half-configured libpkcs11-helper1:armhf 1.21-1
2018-01-18 14:56:00 status installed libpkcs11-helper1:armhf 1.21-1
2018-01-18 14:56:00 configure opensc-pkcs11:armhf 0.16.0-3 <none>
2018-01-18 14:56:00 status unpacked opensc-pkcs11:armhf 0.16.0-3
2018-01-18 14:56:00 status half-configured opensc-pkcs11:armhf 0.16.0-3
2018-01-18 14:56:00 status installed opensc-pkcs11:armhf 0.16.0-3
2018-01-18 14:56:00 trigproc libc-bin:armhf 2.24-11+deb9u1 <none>
2018-01-18 14:56:00 status half-configured libc-bin:armhf 2.24-11+deb9u1
2018-01-18 14:56:01 status installed libc-bin:armhf 2.24-11+deb9u1
2018-01-18 14:56:02 trigproc systemd:armhf 232-25+deb9u1 <none>
2018-01-18 14:56:02 status half-configured systemd:armhf 232-25+deb9u1
2018-01-18 14:56:02 status installed systemd:armhf 232-25+deb9u1
2018-01-18 14:56:02 configure easy-rsa:all 2.2.2-2 <none>
2018-01-18 14:56:02 status unpacked easy-rsa:all 2.2.2-2
2018-01-18 14:56:02 status half-configured easy-rsa:all 2.2.2-2
2018-01-18 14:56:02 status installed easy-rsa:all 2.2.2-2
2018-01-18 14:56:02 trigproc man-db:armhf 2.7.6.1-2 <none>
2018-01-18 14:56:02 status half-configured man-db:armhf 2.7.6.1-2
2018-01-18 14:56:10 status installed man-db:armhf 2.7.6.1-2
2018-01-18 14:56:10 configure libccid:armhf 1.4.26-1 <none>
2018-01-18 14:56:10 status unpacked libccid:armhf 1.4.26-1
2018-01-18 14:56:10 status unpacked libccid:armhf 1.4.26-1
2018-01-18 14:56:10 status unpacked libccid:armhf 1.4.26-1
2018-01-18 14:56:10 status half-configured libccid:armhf 1.4.26-1
2018-01-18 14:56:10 status installed libccid:armhf 1.4.26-1
2018-01-18 14:56:10 configure liblzo2-2:armhf 2.08-1.2 <none>
2018-01-18 14:56:10 status unpacked liblzo2-2:armhf 2.08-1.2
2018-01-18 14:56:10 status half-configured liblzo2-2:armhf 2.08-1.2
2018-01-18 14:56:11 status installed liblzo2-2:armhf 2.08-1.2
2018-01-18 14:56:11 configure opensc:armhf 0.16.0-3 <none>
2018-01-18 14:56:11 status unpacked opensc:armhf 0.16.0-3
2018-01-18 14:56:11 status unpacked opensc:armhf 0.16.0-3
2018-01-18 14:56:11 status half-configured opensc:armhf 0.16.0-3
2018-01-18 14:56:11 status installed opensc:armhf 0.16.0-3
2018-01-18 14:56:11 configure pcscd:armhf 1.8.20-1 <none>
2018-01-18 14:56:11 status unpacked pcscd:armhf 1.8.20-1
